,account,age,following,numVotes
124,jacecali,17 days 07:48:13.129902000,3,1
125,brian-13,19 days 20:08:22.129902000,2,1
126,viknash,33 days 12:44:37.129902000,1,2
127,enlyten,75 days 14:54:46.129902000,5,7
128,thaivid,9 days 16:06:16.129902000,1,3
129,jeongmin,7 days 14:09:28.129902000,1,11
130,kyuushiro,7 days 15:00:31.129902000,1,2
131,kryptominik,17 days 22:12:07.129902000,1,15
132,gpwein,6 days 19:40:04.129902000,0,2
133,minhtommy1710,37 days 20:56:28.129902000,4,1
134,jorkki,8 days 02:18:13.129902000,1,1
135,isaacwinton,28 days 04:00:25.129902000,2,12
136,asb1688,25 days 23:26:34.129902000,5,1
137,yan.varreti,120 days 16:57:01.129902000,2,16
138,cryptoblue,5 days 23:42:07.129902000,0,1
139,herki,7 days 01:26:52.129902000,1,7
140,sindbad786,17 days 00:58:10.129902000,1,2
141,shadowmuse,169 days 13:34:43.129902000,6,4
142,cryptocrypze,7 days 00:14:43.129902000,2,25
143,lgkustoms,102 days 01:28:43.129902000,1,1
144,theduckdetective,5 days 18:58:04.129902000,0,1
145,jluong,5 days 20:17:31.129902000,0,34
146,multimediandy,22 days 00:54:10.129902000,2,13
147,rbcrypto99,44 days 23:27:01.129902000,1,1
148,cyrillekz,18 days 22:46:22.129902000,4,8
149,kjn311,7 days 00:27:07.129902000,1,4
150,minnowfeet,35 days 02:19:43.129902000,5,1
151,thecryptoleum,15 days 17:20:28.129902000,1,1
152,bbbx,14 days 21:07:22.129902000,3,4
153,skyr,6 days 09:26:43.129902000,1,1
154,squashflips,13 days 16:25:37.129902000,3,4
155,hkbothra,11 days 22:05:28.129902000,2,10
156,spellbinder,7 days 14:26:04.129902000,1,4
157,timdamen,6 days 08:04:52.129902000,1,4
158,jasonpatton,30 days 12:19:16.129902000,5,5
159,leglocks,18 days 08:19:28.129902000,1,1
160,brosephcrypto,10 days 09:54:55.129902000,2,1
161,jerdy,65 days 11:32:52.129902000,1,74
162,robman,9 days 18:17:46.129902000,1,1
163,itaewon,80 days 13:33:19.129902000,8,240
164,jlukose,132 days 01:11:52.129902000,4,2
165,puppycoins,20 days 01:17:19.129902000,1,1
166,renat2000,6 days 20:48:43.129902000,1,1
167,nathre,18 days 19:24:10.129902000,1,25
168,stevenj,20 days 16:42:37.129902000,2,35
169,knwldgrsurvey,163 days 23:51:52.129902000,3,1
170,talktobrian85,41 days 00:35:49.129902000,3,2
171,turnstogold,34 days 08:53:58.129902000,3,2
172,leonardo62,16 days 14:35:13.129902000,1,1
